Resumes,Score
CYBER_SECURITY_RESUME_0,65
CYBER_SECURITY_RESUME_1,75
CYBER_SECURITY_RESUME_10,75
CYBER_SECURITY_RESUME_11,67
CYBER_SECURITY_RESUME_12,58
CYBER_SECURITY_RESUME_13,75
CYBER_SECURITY_RESUME_14,57
CYBER_SECURITY_RESUME_15,56
CYBER_SECURITY_RESUME_3,50
CYBER_SECURITY_RESUME_4,68
CYBER_SECURITY_RESUME_5,55
CYBER_SECURITY_RESUME_6,55
CYBER_SECURITY_RESUME_7,55
CYBER_SECURITY_RESUME_8,57
CYBER_SECURITY_RESUME_9,65
ML_RESUME_1,75
ML_RESUME_10,85
ML_RESUME_11,55
ML_RESUME_12,57
ML_RESUME_13,77
ML_RESUME_14,15
ML_RESUME_15,60
ML_RESUME_16,58
ML_RESUME_17,70
ML_RESUME_18,65
ML_RESUME_19,78
ML_RESUME_2,70
ML_RESUME_20,57
ML_RESUME_21,60
ML_RESUME_22,65
ML_RESUME_23,80
ML_RESUME_24,82
ML_RESUME_25,78
ML_RESUME_26,75
ML_RESUME_27,60
ML_RESUME_28,72
ML_RESUME_29,78
ML_RESUME_3,75
ML_RESUME_30,80
ML_RESUME_32,60
ML_RESUME_33,82
ML_RESUME_34,69
ML_RESUME_35,78
ML_RESUME_36,75
ML_RESUME_37,79
ML_RESUME_38,82
ML_RESUME_39,90
ML_RESUME_4,85
ML_RESUME_40,85
ML_RESUME_41,80
ML_RESUME_42,83
ML_RESUME_43,50
ML_RESUME_44,78
ML_RESUME_45,63
ML_RESUME_46,95
ML_RESUME_5,75
ML_RESUME_6,20
ML_RESUME_7,60
ML_RESUME_8,78
ML_RESUME_9,65
SDE_RESUME,70
SDE_RESUME_1,65
SDE_RESUME_10,63
SDE_RESUME_11,85
SDE_RESUME_12,80
SDE_RESUME_13,72
SDE_RESUME_14,60
SDE_RESUME_15,62
SDE_RESUME_16,78
SDE_RESUME_17,70
SDE_RESUME_18,70
SDE_RESUME_19,68
SDE_RESUME_2,58
SDE_RESUME_20,78
SDE_RESUME_21,77
SDE_RESUME_22,80
SDE_RESUME_23,80
SDE_RESUME_24,70
SDE_RESUME_25,69
SDE_Resume_27,57
SDE_Resume_28,65
SDE_RESUME_3,66
SDE_Resume_30,60
SDE_RESUME_31,80
SDE_RESUME_32,75
SDE_RESUME_33,78
SDE_RESUME_34,78
SDE_RESUME_35,65
SDE_RESUME_36,79
SDE_RESUME_37,88
SDE_RESUME_38,80
SDE_RESUME_39,68
SDE_RESUME_4,60
SDE_RESUME_40,78
SDE_RESUME_41,75
SDE_RESUME_42,80
SDE_RESUME_43,82
SDE_RESUME_44,77
SDE_RESUME_5,55
SDE_RESUME_6,55
SDE_RESUME_7,58
SDE_RESUME_9,60
WEB_DEV_RESUME,55
WEB_DEV_RESUME_1,78
WEB_DEV_RESUME_12,50
WEB_DEV_RESUME_14,85
WEB_DEV_RESUME_15,88
WEB_DEV_RESUME_16,78
WEB_DEV_RESUME_17,60
WEB_DEV_RESUME_18,70
WEB_DEV_RESUME_19,56
WEB_DEV_RESUME_2,75
WEB_DEV_RESUME_20,78
WEB_DEV_RESUME_21,85
WEB_DEV_RESUME_22,60
WEB_DEV_RESUME_23,65
WEB_DEV_RESUME_3,80
WEB_DEV_RESUME_8,79
